SOURCES OF COLLECTIONS,SOURCEID,ITAX_TYPE
,,
Building Permit Fee,"980, 985, 978, 984, 983, 982, 981, 977, 979, 965",PFB
Electrical Permit Fee,"974, 975, 972",EP
Zoning Fee,"688, 620, 629, 1011, 968, 683, 623, 618",ZLC
Livestock,1019,IFL
Diving Fee,"951, 953",IFD
